State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
12,4,District - Tawang,Urban,90+,Male,In seeing,0
12,4,District - Tawang,Urban,Age not stated,Male,In seeing,3
12,5,District - Tawang,Rural,0-4,Male,In seeing,35
12,5,District - Tawang,Rural,5-9,Male,In seeing,74
12,5,District - Tawang,Rural,10-19,Male,In seeing,124
12,5,District - Tawang,Rural,20-29,Male,In seeing,198
12,5,District - Tawang,Rural,30-39,Male,In seeing,314
12,5,District - Tawang,Rural,40-49,Male,In seeing,366
12,5,District - Tawang,Rural,50-59,Male,In seeing,261
12,5,District - Tawang,Rural,60-69,Male,In seeing,121
12,5,District - Tawang,Rural,70-79,Male,In seeing,35
12,5,District - Tawang,Rural,80-89,Male,In seeing,15
12,5,District - Tawang,Rural,90+,Male,In seeing,1
12,5,District - Tawang,Rural,Age not stated,Male,In seeing,1
12,5,District - Tawang,Urban,0-4,Male,In seeing,1
12,5,District - Tawang,Urban,5-9,Male,In seeing,8
12,5,District - Tawang,Urban,10-19,Male,In seeing,7
12,5,District - Tawang,Urban,20-29,Male,In seeing,39
12,5,District - Tawang,Urban,30-39,Male,In seeing,96
12,5,District - Tawang,Urban,40-49,Male,In seeing,56
12,5,District - Tawang,Urban,50-59,Male,In seeing,32
12,5,District - Tawang,Urban,60-69,Male,In seeing,5
12,5,District - Tawang,Urban,70-79,Male,In seeing,0
12,5,District - Tawang,Urban,80-89,Male,In seeing,0
12,5,District - Tawang,Urban,90+,Male,In seeing,0
12,5,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,6,District - Tawang,Rural,0-4,Male,In seeing,25
12,6,District - Tawang,Rural,5-9,Male,In seeing,28
12,6,District - Tawang,Rural,10-19,Male,In seeing,46
12,6,District - Tawang,Rural,20-29,Male,In seeing,105
12,6,District - Tawang,Rural,30-39,Male,In seeing,185
12,6,District - Tawang,Rural,40-49,Male,In seeing,214
12,6,District - Tawang,Rural,50-59,Male,In seeing,123
12,6,District - Tawang,Rural,60-69,Male,In seeing,85
12,6,District - Tawang,Rural,70-79,Male,In seeing,17
12,6,District - Tawang,Rural,80-89,Male,In seeing,3
12,6,District - Tawang,Rural,90+,Male,In seeing,0
12,6,District - Tawang,Rural,Age not stated,Male,In seeing,2
12,6,District - Tawang,Urban,0-4,Male,In seeing,14
12,6,District - Tawang,Urban,5-9,Male,In seeing,9
12,6,District - Tawang,Urban,10-19,Male,In seeing,29
12,6,District - Tawang,Urban,20-29,Male,In seeing,76
12,6,District - Tawang,Urban,30-39,Male,In seeing,108
12,6,District - Tawang,Urban,40-49,Male,In seeing,70
12,6,District - Tawang,Urban,50-59,Male,In seeing,26
12,6,District - Tawang,Urban,60-69,Male,In seeing,6
12,6,District - Tawang,Urban,70-79,Male,In seeing,0
12,6,District - Tawang,Urban,80-89,Male,In seeing,0
12,6,District - Tawang,Urban,90+,Male,In seeing,0
12,6,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,7,District - Tawang,Rural,0-4,Male,In seeing,57
12,7,District - Tawang,Rural,5-9,Male,In seeing,54
12,7,District - Tawang,Rural,10-19,Male,In seeing,107
12,7,District - Tawang,Rural,20-29,Male,In seeing,156
12,7,District - Tawang,Rural,30-39,Male,In seeing,275
12,7,District - Tawang,Rural,40-49,Male,In seeing,262
12,7,District - Tawang,Rural,50-59,Male,In seeing,245
12,7,District - Tawang,Rural,60-69,Male,In seeing,125
12,7,District - Tawang,Rural,70-79,Male,In seeing,56
12,7,District - Tawang,Rural,80-89,Male,In seeing,12
12,7,District - Tawang,Rural,90+,Male,In seeing,1
12,7,District - Tawang,Rural,Age not stated,Male,In seeing,2
12,7,District - Tawang,Urban,0-4,Male,In seeing,16
12,7,District - Tawang,Urban,5-9,Male,In seeing,25
12,7,District - Tawang,Urban,10-19,Male,In seeing,36
12,7,District - Tawang,Urban,20-29,Male,In seeing,88
12,7,District - Tawang,Urban,30-39,Male,In seeing,175
12,7,District - Tawang,Urban,40-49,Male,In seeing,109
12,7,District - Tawang,Urban,50-59,Male,In seeing,58
12,7,District - Tawang,Urban,60-69,Male,In seeing,10
12,7,District - Tawang,Urban,70-79,Male,In seeing,2
12,7,District - Tawang,Urban,80-89,Male,In seeing,0
12,7,District - Tawang,Urban,90+,Male,In seeing,0
12,7,District - Tawang,Urban,Age not stated,Male,In seeing,1
12,8,District - Tawang,Rural,0-4,Male,In seeing,42
12,8,District - Tawang,Rural,5-9,Male,In seeing,40
12,8,District - Tawang,Rural,10-19,Male,In seeing,65
12,8,District - Tawang,Rural,20-29,Male,In seeing,110
12,8,District - Tawang,Rural,30-39,Male,In seeing,231
12,8,District - Tawang,Rural,40-49,Male,In seeing,237
12,8,District - Tawang,Rural,50-59,Male,In seeing,189
12,8,District - Tawang,Rural,60-69,Male,In seeing,99
12,8,District - Tawang,Rural,70-79,Male,In seeing,51
12,8,District - Tawang,Rural,80-89,Male,In seeing,15
12,8,District - Tawang,Rural,90+,Male,In seeing,3
12,8,District - Tawang,Rural,Age not stated,Male,In seeing,5
12,8,District - Tawang,Urban,0-4,Male,In seeing,4
12,8,District - Tawang,Urban,5-9,Male,In seeing,5
12,8,District - Tawang,Urban,10-19,Male,In seeing,18
12,8,District - Tawang,Urban,20-29,Male,In seeing,39
12,8,District - Tawang,Urban,30-39,Male,In seeing,103
12,8,District - Tawang,Urban,40-49,Male,In seeing,101
12,8,District - Tawang,Urban,50-59,Male,In seeing,41
12,8,District - Tawang,Urban,60-69,Male,In seeing,14
12,8,District - Tawang,Urban,70-79,Male,In seeing,4
12,8,District - Tawang,Urban,80-89,Male,In seeing,0
12,8,District - Tawang,Urban,90+,Male,In seeing,1
12,8,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,9,District - Tawang,Rural,0-4,Male,In seeing,16
12,9,District - Tawang,Rural,5-9,Male,In seeing,14
12,9,District - Tawang,Rural,10-19,Male,In seeing,21
12,9,District - Tawang,Rural,20-29,Male,In seeing,106
12,9,District - Tawang,Rural,30-39,Male,In seeing,169
12,9,District - Tawang,Rural,40-49,Male,In seeing,148
12,9,District - Tawang,Rural,50-59,Male,In seeing,111
12,9,District - Tawang,Rural,60-69,Male,In seeing,69
12,9,District - Tawang,Rural,70-79,Male,In seeing,30
12,9,District - Tawang,Rural,80-89,Male,In seeing,16
12,9,District - Tawang,Rural,90+,Male,In seeing,2
12,9,District - Tawang,Rural,Age not stated,Male,In seeing,1
12,9,District - Tawang,Urban,0-4,Male,In seeing,0
12,9,District - Tawang,Urban,5-9,Male,In seeing,0
12,9,District - Tawang,Urban,10-19,Male,In seeing,0
12,9,District - Tawang,Urban,20-29,Male,In seeing,0
12,9,District - Tawang,Urban,30-39,Male,In seeing,0
12,9,District - Tawang,Urban,40-49,Male,In seeing,0
12,9,District - Tawang,Urban,50-59,Male,In seeing,0
12,9,District - Tawang,Urban,60-69,Male,In seeing,0
12,9,District - Tawang,Urban,70-79,Male,In seeing,0
12,9,District - Tawang,Urban,80-89,Male,In seeing,0
12,9,District - Tawang,Urban,90+,Male,In seeing,0
12,9,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,10,District - Tawang,Rural,0-4,Male,In seeing,17
12,10,District - Tawang,Rural,5-9,Male,In seeing,23
12,10,District - Tawang,Rural,10-19,Male,In seeing,37
12,10,District - Tawang,Rural,20-29,Male,In seeing,120
12,10,District - Tawang,Rural,30-39,Male,In seeing,179
12,10,District - Tawang,Rural,40-49,Male,In seeing,164
12,10,District - Tawang,Rural,50-59,Male,In seeing,100
12,10,District - Tawang,Rural,60-69,Male,In seeing,60
12,10,District - Tawang,Rural,70-79,Male,In seeing,26
12,10,District - Tawang,Rural,80-89,Male,In seeing,12
12,10,District - Tawang,Rural,90+,Male,In seeing,1
12,10,District - Tawang,Rural,Age not stated,Male,In seeing,1
12,10,District - Tawang,Urban,0-4,Male,In seeing,6
12,10,District - Tawang,Urban,5-9,Male,In seeing,5
12,10,District - Tawang,Urban,10-19,Male,In seeing,27
12,10,District - Tawang,Urban,20-29,Male,In seeing,21
12,10,District - Tawang,Urban,30-39,Male,In seeing,50
12,10,District - Tawang,Urban,40-49,Male,In seeing,43
12,10,District - Tawang,Urban,50-59,Male,In seeing,18
12,10,District - Tawang,Urban,60-69,Male,In seeing,3
12,10,District - Tawang,Urban,70-79,Male,In seeing,0
12,10,District - Tawang,Urban,80-89,Male,In seeing,0
12,10,District - Tawang,Urban,90+,Male,In seeing,0
12,10,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,11,District - Tawang,Rural,0-4,Male,In seeing,97
12,11,District - Tawang,Rural,5-9,Male,In seeing,104
12,11,District - Tawang,Rural,10-19,Male,In seeing,164
12,11,District - Tawang,Rural,20-29,Male,In seeing,120
12,11,District - Tawang,Rural,30-39,Male,In seeing,175
12,11,District - Tawang,Rural,40-49,Male,In seeing,125
12,11,District - Tawang,Rural,50-59,Male,In seeing,107
12,11,District - Tawang,Rural,60-69,Male,In seeing,64
12,11,District - Tawang,Rural,70-79,Male,In seeing,36
12,11,District - Tawang,Rural,80-89,Male,In seeing,11
12,11,District - Tawang,Rural,90+,Male,In seeing,3
12,11,District - Tawang,Rural,Age not stated,Male,In seeing,1
12,11,District - Tawang,Urban,0-4,Male,In seeing,5
12,11,District - Tawang,Urban,5-9,Male,In seeing,6
12,11,District - Tawang,Urban,10-19,Male,In seeing,31
12,11,District - Tawang,Urban,20-29,Male,In seeing,17
12,11,District - Tawang,Urban,30-39,Male,In seeing,26
12,11,District - Tawang,Urban,40-49,Male,In seeing,18
12,11,District - Tawang,Urban,50-59,Male,In seeing,12
12,11,District - Tawang,Urban,60-69,Male,In seeing,5
12,11,District - Tawang,Urban,70-79,Male,In seeing,3
12,11,District - Tawang,Urban,80-89,Male,In seeing,1
12,11,District - Tawang,Urban,90+,Male,In seeing,1
12,11,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,12,District - Tawang,Rural,0-4,Male,In seeing,65
12,12,District - Tawang,Rural,5-9,Male,In seeing,59
12,12,District - Tawang,Rural,10-19,Male,In seeing,101
12,12,District - Tawang,Rural,20-29,Male,In seeing,95
12,12,District - Tawang,Rural,30-39,Male,In seeing,78
12,12,District - Tawang,Rural,40-49,Male,In seeing,72
12,12,District - Tawang,Rural,50-59,Male,In seeing,55
12,12,District - Tawang,Rural,60-69,Male,In seeing,43
12,12,District - Tawang,Rural,70-79,Male,In seeing,25
12,12,District - Tawang,Rural,80-89,Male,In seeing,18
12,12,District - Tawang,Rural,90+,Male,In seeing,1
12,12,District - Tawang,Rural,Age not stated,Male,In seeing,2
12,12,District - Tawang,Urban,0-4,Male,In seeing,9
12,12,District - Tawang,Urban,5-9,Male,In seeing,5
12,12,District - Tawang,Urban,10-19,Male,In seeing,15
12,12,District - Tawang,Urban,20-29,Male,In seeing,22
12,12,District - Tawang,Urban,30-39,Male,In seeing,26
12,12,District - Tawang,Urban,40-49,Male,In seeing,12
12,12,District - Tawang,Urban,50-59,Male,In seeing,4
12,12,District - Tawang,Urban,60-69,Male,In seeing,0
12,12,District - Tawang,Urban,70-79,Male,In seeing,1
12,12,District - Tawang,Urban,80-89,Male,In seeing,0
12,12,District - Tawang,Urban,90+,Male,In seeing,0
12,12,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,13,District - Tawang,Rural,0-4,Male,In seeing,61
12,13,District - Tawang,Rural,5-9,Male,In seeing,68
12,13,District - Tawang,Rural,10-19,Male,In seeing,112
12,13,District - Tawang,Rural,20-29,Male,In seeing,62
12,13,District - Tawang,Rural,30-39,Male,In seeing,81
12,13,District - Tawang,Rural,40-49,Male,In seeing,58
12,13,District - Tawang,Rural,50-59,Male,In seeing,29
12,13,District - Tawang,Rural,60-69,Male,In seeing,35
12,13,District - Tawang,Rural,70-79,Male,In seeing,11
12,13,District - Tawang,Rural,80-89,Male,In seeing,15
12,13,District - Tawang,Rural,90+,Male,In seeing,3
12,13,District - Tawang,Rural,Age not stated,Male,In seeing,0
12,13,District - Tawang,Urban,0-4,Male,In seeing,4
12,13,District - Tawang,Urban,5-9,Male,In seeing,8
12,13,District - Tawang,Urban,10-19,Male,In seeing,20
12,13,District - Tawang,Urban,20-29,Male,In seeing,15
12,13,District - Tawang,Urban,30-39,Male,In seeing,13
12,13,District - Tawang,Urban,40-49,Male,In seeing,13
12,13,District - Tawang,Urban,50-59,Male,In seeing,7
12,13,District - Tawang,Urban,60-69,Male,In seeing,1
12,13,District - Tawang,Urban,70-79,Male,In seeing,1
12,13,District - Tawang,Urban,80-89,Male,In seeing,0
12,13,District - Tawang,Urban,90+,Male,In seeing,1
12,13,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,1,District - Tawang,Rural,0-4,Female,In seeing,8
12,1,District - Tawang,Rural,5-9,Female,In seeing,8
12,1,District - Tawang,Rural,10-19,Female,In seeing,19
12,1,District - Tawang,Rural,20-29,Female,In seeing,19
12,1,District - Tawang,Rural,30-39,Female,In seeing,18
12,1,District - Tawang,Rural,40-49,Female,In seeing,27
12,1,District - Tawang,Rural,50-59,Female,In seeing,18
12,1,District - Tawang,Rural,60-69,Female,In seeing,38
12,1,District - Tawang,Rural,70-79,Female,In seeing,41
12,1,District - Tawang,Rural,80-89,Female,In seeing,22
12,1,District - Tawang,Rural,90+,Female,In seeing,1
12,1,District - Tawang,Rural,Age not stated,Female,In seeing,0
12,1,District - Tawang,Urban,0-4,Female,In seeing,2
12,1,District - Tawang,Urban,5-9,Female,In seeing,2
12,1,District - Tawang,Urban,10-19,Female,In seeing,6
12,1,District - Tawang,Urban,20-29,Female,In seeing,6
12,1,District - Tawang,Urban,30-39,Female,In seeing,10
12,1,District - Tawang,Urban,40-49,Female,In seeing,3
12,1,District - Tawang,Urban,50-59,Female,In seeing,2
12,1,District - Tawang,Urban,60-69,Female,In seeing,2
12,1,District - Tawang,Urban,70-79,Female,In seeing,0
12,1,District - Tawang,Urban,80-89,Female,In seeing,1
12,1,District - Tawang,Urban,90+,Female,In seeing,0
12,1,District - Tawang,Urban,Age not stated,Female,In seeing,0
12,2,District - Tawang,Rural,0-4,Female,In seeing,28
12,2,District - Tawang,Rural,5-9,Female,In seeing,38
12,2,District - Tawang,Rural,10-19,Female,In seeing,64
12,2,District - Tawang,Rural,20-29,Female,In seeing,56
12,2,District - Tawang,Rural,30-39,Female,In seeing,83
12,2,District - Tawang,Rural,40-49,Female,In seeing,44
12,2,District - Tawang,Rural,50-59,Female,In seeing,28
12,2,District - Tawang,Rural,60-69,Female,In seeing,25
12,2,District - Tawang,Rural,70-79,Female,In seeing,14
12,2,District - Tawang,Rural,80-89,Female,In seeing,7
12,2,District - Tawang,Rural,90+,Female,In seeing,1
12,2,District - Tawang,Rural,Age not stated,Female,In seeing,0
12,2,District - Tawang,Urban,0-4,Female,In seeing,1
12,2,District - Tawang,Urban,5-9,Female,In seeing,5
12,2,District - Tawang,Urban,10-19,Female,In seeing,4
12,2,District - Tawang,Urban,20-29,Female,In seeing,7
12,2,District - Tawang,Urban,30-39,Female,In seeing,9
12,2,District - Tawang,Urban,40-49,Female,In seeing,3
12,2,District - Tawang,Urban,50-59,Female,In seeing,2
12,2,District - Tawang,Urban,60-69,Female,In seeing,0
12,2,District - Tawang,Urban,70-79,Female,In seeing,0
12,2,District - Tawang,Urban,80-89,Female,In seeing,0
12,2,District - Tawang,Urban,90+,Female,In seeing,0
12,2,District - Tawang,Urban,Age not stated,Female,In seeing,0
12,3,District - Tawang,Rural,0-4,Female,In seeing,52
12,3,District - Tawang,Rural,5-9,Female,In seeing,61
12,3,District - Tawang,Rural,10-19,Female,In seeing,83
12,3,District - Tawang,Rural,20-29,Female,In seeing,51
12,3,District - Tawang,Rural,30-39,Female,In seeing,71
12,3,District - Tawang,Rural,40-49,Female,In seeing,78
12,3,District - Tawang,Rural,50-59,Female,In seeing,68
12,3,District - Tawang,Rural,60-69,Female,In seeing,34
12,3,District - Tawang,Rural,70-79,Female,In seeing,17
12,3,District - Tawang,Rural,80-89,Female,In seeing,8
12,3,District - Tawang,Rural,90+,Female,In seeing,2
12,3,District - Tawang,Rural,Age not stated,Female,In seeing,1
12,3,District - Tawang,Urban,0-4,Female,In seeing,10
12,3,District - Tawang,Urban,5-9,Female,In seeing,5
12,3,District - Tawang,Urban,10-19,Female,In seeing,13
12,3,District - Tawang,Urban,20-29,Female,In seeing,18
12,3,District - Tawang,Urban,30-39,Female,In seeing,23
12,3,District - Tawang,Urban,40-49,Female,In seeing,7
12,3,District - Tawang,Urban,50-59,Female,In seeing,9
12,3,District - Tawang,Urban,60-69,Female,In seeing,2
12,3,District - Tawang,Urban,70-79,Female,In seeing,3
12,3,District - Tawang,Urban,80-89,Female,In seeing,0
12,3,District - Tawang,Urban,90+,Female,In seeing,0
12,3,District - Tawang,Urban,Age not stated,Female,In seeing,0
12,4,District - Tawang,Rural,0-4,Female,In seeing,51
12,4,District - Tawang,Rural,5-9,Female,In seeing,65
12,4,District - Tawang,Rural,10-19,Female,In seeing,110
12,4,District - Tawang,Rural,20-29,Female,In seeing,80
12,4,District - Tawang,Rural,30-39,Female,In seeing,86
12,4,District - Tawang,Rural,40-49,Female,In seeing,56
12,4,District - Tawang,Rural,50-59,Female,In seeing,32
12,4,District - Tawang,Rural,60-69,Female,In seeing,29
12,4,District - Tawang,Rural,70-79,Female,In seeing,15
12,4,District - Tawang,Rural,80-89,Female,In seeing,6
12,4,District - Tawang,Rural,90+,Female,In seeing,2
12,4,District - Tawang,Rural,Age not stated,Female,In seeing,0
12,4,District - Tawang,Urban,0-4,Female,In seeing,11
12,4,District - Tawang,Urban,5-9,Female,In seeing,32
12,4,District - Tawang,Urban,10-19,Female,In seeing,56
12,4,District - Tawang,Urban,20-29,Female,In seeing,71
12,4,District - Tawang,Urban,30-39,Female,In seeing,64
12,4,District - Tawang,Urban,40-49,Female,In seeing,41
12,4,District - Tawang,Urban,50-59,Female,In seeing,18
12,4,District - Tawang,Urban,60-69,Female,In seeing,6
12,4,District - Tawang,Urban,70-79,Female,In seeing,5
12,4,District - Tawang,Urban,80-89,Female,In seeing,2
12,4,District - Tawang,Urban,90+,Female,In seeing,1
12,4,District - Tawang,Urban,Age not stated,Female,In seeing,1
12,5,District - Tawang,Rural,0-4,Female,In seeing,60
12,5,District - Tawang,Rural,5-9,Female,In seeing,67
12,5,District - Tawang,Rural,10-19,Female,In seeing,112
12,5,District - Tawang,Rural,20-29,Female,In seeing,77
12,5,District - Tawang,Rural,30-39,Female,In seeing,96
12,5,District - Tawang,Rural,40-49,Female,In seeing,93
12,5,District - Tawang,Rural,50-59,Female,In seeing,65
12,5,District - Tawang,Rural,60-69,Female,In seeing,56
12,5,District - Tawang,Rural,70-79,Female,In seeing,21
12,5,District - Tawang,Rural,80-89,Female,In seeing,6
12,5,District - Tawang,Rural,90+,Female,In seeing,2
12,5,District - Tawang,Rural,Age not stated,Female,In seeing,0
12,5,District - Tawang,Urban,0-4,Female,In seeing,3
12,5,District - Tawang,Urban,5-9,Female,In seeing,6
12,5,District - Tawang,Urban,10-19,Female,In seeing,14
12,5,District - Tawang,Urban,20-29,Female,In seeing,11
12,5,District - Tawang,Urban,30-39,Female,In seeing,23
12,5,District - Tawang,Urban,40-49,Female,In seeing,19
12,5,District - Tawang,Urban,50-59,Female,In seeing,4
12,5,District - Tawang,Urban,60-69,Female,In seeing,2
12,5,District - Tawang,Urban,70-79,Female,In seeing,0
12,5,District - Tawang,Urban,80-89,Female,In seeing,0
12,5,District - Tawang,Urban,90+,Female,In seeing,0
12,5,District - Tawang,Urban,Age not stated,Female,In seeing,0
12,6,District - Tawang,Rural,0-4,Female,In seeing,21
12,6,District - Tawang,Rural,5-9,Female,In seeing,34
12,6,District - Tawang,Rural,10-19,Female,In seeing,43
12,6,District - Tawang,Rural,20-29,Female,In seeing,31
12,6,District - Tawang,Rural,30-39,Female,In seeing,39
12,6,District - Tawang,Rural,40-49,Female,In seeing,34
12,6,District - Tawang,Rural,50-59,Female,In seeing,38
12,6,District - Tawang,Rural,60-69,Female,In seeing,34
12,6,District - Tawang,Rural,70-79,Female,In seeing,16
12,6,District - Tawang,Rural,80-89,Female,In seeing,8
12,6,District - Tawang,Rural,90+,Female,In seeing,2
12,6,District - Tawang,Rural,Age not stated,Female,In seeing,0
12,6,District - Tawang,Urban,0-4,Female,In seeing,11
12,6,District - Tawang,Urban,5-9,Female,In seeing,10
12,6,District - Tawang,Urban,10-19,Female,In seeing,27
12,6,District - Tawang,Urban,20-29,Female,In seeing,18
12,6,District - Tawang,Urban,30-39,Female,In seeing,21
12,6,District - Tawang,Urban,40-49,Female,In seeing,9
12,6,District - Tawang,Urban,50-59,Female,In seeing,6
12,6,District - Tawang,Urban,60-69,Female,In seeing,7
12,6,District - Tawang,Urban,70-79,Female,In seeing,2
12,6,District - Tawang,Urban,80-89,Female,In seeing,0
12,6,District - Tawang,Urban,90+,Female,In seeing,1
12,6,District - Tawang,Urban,Age not stated,Female,In seeing,0
12,7,District - Tawang,Rural,0-4,Female,In seeing,53
12,7,District - Tawang,Rural,5-9,Female,In seeing,77
12,7,District - Tawang,Rural,10-19,Female,In seeing,111
12,7,District - Tawang,Rural,20-29,Female,In seeing,68
12,7,District - Tawang,Rural,30-39,Female,In seeing,68
12,7,District - Tawang,Rural,40-49,Female,In seeing,62
12,7,District - Tawang,Rural,50-59,Female,In seeing,47
12,7,District - Tawang,Rural,60-69,Female,In seeing,34
12,7,District - Tawang,Rural,70-79,Female,In seeing,22
12,7,District - Tawang,Rural,80-89,Female,In seeing,3
12,7,District - Tawang,Rural,90+,Female,In seeing,6
12,7,District - Tawang,Rural,Age not stated,Female,In seeing,0
12,7,District - Tawang,Urban,0-4,Female,In seeing,19
12,7,District - Tawang,Urban,5-9,Female,In seeing,22
12,7,District - Tawang,Urban,10-19,Female,In seeing,43
12,7,District - Tawang,Urban,20-29,Female,In seeing,31
12,7,District - Tawang,Urban,30-39,Female,In seeing,25
12,7,District - Tawang,Urban,40-49,Female,In seeing,12
12,7,District - Tawang,Urban,50-59,Female,In seeing,2
12,7,District - Tawang,Urban,60-69,Female,In seeing,3
12,7,District - Tawang,Urban,70-79,Female,In seeing,0
