Table Name (1),State Code (2),Distt.Code (3),Area Name  (4),Total/Rural/Urban (5),Age-group (6),In seeing Persons Males (11),In Hearing Persons Males (14),In Hearing Persons Females (15),In Speech Males (17),In Speech Females (18),In Movement Males (20),In Movement  Females (21)
C4920,28,7,District-Mahbubnagar,Rural,60-69,1570,906,1002,233,195,2147,1758
C4920,28,7,District-Mahbubnagar,Rural,70-79,1151,535,523,102,71,1092,904
C4920,28,7,District-Mahbubnagar,Rural,80-89,367,168,197,17,20,275,372
C4920,28,7,District-Mahbubnagar,Rural,90+,69,46,48,8,6,57,80
C4920,28,7,District-Mahbubnagar,Rural,Age Not Stated,35,33,27,25,19,71,46
C4920,28,7,District-Mahbubnagar,Urban,0-4,23,40,47,11,4,25,18
C4920,28,7,District-Mahbubnagar,Urban,5-9,72,66,58,64,61,63,42
C4920,28,7,District-Mahbubnagar,Urban,10-19,218,173,139,165,129,197,162
C4920,28,7,District-Mahbubnagar,Urban,20-29,101,155,154,122,104,347,280
C4920,28,7,District-Mahbubnagar,Urban,30-39,106,148,147,123,84,394,198
C4920,28,7,District-Mahbubnagar,Urban,40-49,120,128,105,89,59,347,131
C4920,28,7,District-Mahbubnagar,Urban,50-59,107,77,61,56,48,272,118
C4920,28,7,District-Mahbubnagar,Urban,60-69,105,75,67,26,20,227,147
C4920,28,7,District-Mahbubnagar,Urban,70-79,61,45,37,19,5,116,84
C4920,28,7,District-Mahbubnagar,Urban,80-89,16,12,17,2,2,27,39
C4920,28,7,District-Mahbubnagar,Urban,90+,7,1,6,2,2,8,9
C4920,28,7,District-Mahbubnagar,Urban,Age Not Stated,14,8,5,6,4,15,11
C4920,28,8,District-Nalgonda,Rural,0-4,104,112,129,50,45,214,129
C4920,28,8,District-Nalgonda,Rural,5-9,209,231,202,360,263,445,312
C4920,28,8,District-Nalgonda,Rural,10-19,559,596,508,758,610,1623,1150
C4920,28,8,District-Nalgonda,Rural,20-29,570,624,567,685,497,3142,1973
C4920,28,8,District-Nalgonda,Rural,30-39,558,498,548,572,369,2361,1324
C4920,28,8,District-Nalgonda,Rural,40-49,626,538,542,424,322,2148,1167
C4920,28,8,District-Nalgonda,Rural,50-59,700,478,614,265,201,2026,1406
C4920,28,8,District-Nalgonda,Rural,60-69,1295,731,836,222,217,2552,1995
C4920,28,8,District-Nalgonda,Rural,70-79,982,516,466,117,76,1615,1105
C4920,28,8,District-Nalgonda,Rural,80-89,384,201,224,30,29,454,413
C4920,28,8,District-Nalgonda,Rural,90+,76,48,41,7,4,77,96
C4920,28,8,District-Nalgonda,Rural,Age Not Stated,13,8,16,5,4,23,15
C4920,28,8,District-Nalgonda,Urban,0-4,18,34,35,3,3,38,30
C4920,28,8,District-Nalgonda,Urban,5-9,37,64,37,64,41,72,51
C4920,28,8,District-Nalgonda,Urban,10-19,112,164,143,163,142,260,190
C4920,28,8,District-Nalgonda,Urban,20-29,101,130,159,141,141,533,391
C4920,28,8,District-Nalgonda,Urban,30-39,105,129,101,132,126,490,318
C4920,28,8,District-Nalgonda,Urban,40-49,142,109,99,106,59,442,239
C4920,28,8,District-Nalgonda,Urban,50-59,103,73,87,89,59,447,233
C4920,28,8,District-Nalgonda,Urban,60-69,153,88,83,40,35,370,253
C4920,28,8,District-Nalgonda,Urban,70-79,87,58,59,17,8,195,156
C4920,28,8,District-Nalgonda,Urban,80-89,21,28,33,6,7,52,53
C4920,28,8,District-Nalgonda,Urban,90+,7,4,4,3,1,12,21
C4920,28,8,District-Nalgonda,Urban,Age Not Stated,2,1,3,4,0,12,6
C4920,28,9,District-Warangal,Rural,0-4,102,175,159,42,35,171,105
C4920,28,9,District-Warangal,Rural,5-9,187,268,273,321,247,350,241
C4920,28,9,District-Warangal,Rural,10-19,583,777,732,719,604,1135,791
C4920,28,9,District-Warangal,Rural,20-29,474,654,658,582,577,2036,1427
C4920,28,9,District-Warangal,Rural,30-39,501,559,637,568,465,1818,981
