Table Name,State Code,Distt.Code,Area Name ,Total/Rural/Urban,Age-group,Total number of disabled persons Persons,Total number of disabled persons Males,Total number of disabled persons females,In seeing Persons Persons ,In seeing Persons Males ,In seeing Persons Females ,In Hearing Persons Persons ,In Hearing Persons Males ,In Hearing Persons Females 
C4920,10,1,District-Pashchim Champaran,Urban,60-69,48,66,46,14,10,91,51,11,6
C4920,10,1,District-Pashchim Champaran,Urban,70-79,29,20,20,9,5,48,39,5,2
C4920,10,1,District-Pashchim Champaran,Urban,80-89,9,5,7,0,3,11,6,1,1
C4920,10,1,District-Pashchim Champaran,Urban,90+,2,2,6,0,0,0,4,0,1
C4920,10,1,District-Pashchim Champaran,Urban,Age Not Stated,1,4,1,0,0,0,1,0,1
C4920,10,2,District-Purba Champaran,Rural,0-4,1916,1325,1304,121,112,385,256,171,137
C4920,10,2,District-Purba Champaran,Rural,5-9,2255,1829,1652,697,518,608,358,338,248
C4920,10,2,District-Purba Champaran,Rural,10-19,3498,2642,2173,1092,658,1666,748,786,419
C4920,10,2,District-Purba Champaran,Rural,20-29,2046,1735,1587,708,510,1280,406,526,264
C4920,10,2,District-Purba Champaran,Rural,30-39,2043,1696,1516,642,439,966,409,439,247
