Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,32,1,District-Kasaragod,Rural,80-89,75,116,78,102,8,8,54,86,7,11
C4920,32,1,District-Kasaragod,Rural,90+,15,28,18,20,0,0,10,16,2,5
C4920,32,1,District-Kasaragod,Rural,Age Not Stated,0,2,0,2,0,0,4,0,3,0
C4920,32,1,District-Kasaragod,Urban,0-4,31,11,34,26,4,1,30,13,12,8
C4920,32,1,District-Kasaragod,Urban,5-9,35,27,32,26,33,24,49,30,38,42
C4920,32,1,District-Kasaragod,Urban,10-19,108,99,99,67,69,39,79,63,175,121
C4920,32,1,District-Kasaragod,Urban,20-29,91,63,80,87,61,67,157,103,211,160
C4920,32,1,District-Kasaragod,Urban,30-39,79,65,79,91,40,57,234,153,186,144
C4920,32,1,District-Kasaragod,Urban,40-49,68,93,65,75,49,47,254,138,123,102
C4920,32,1,District-Kasaragod,Urban,50-59,97,120,72,88,33,27,229,126,93,65
C4920,32,1,District-Kasaragod,Urban,60-69,117,160,65,89,29,31,217,139,59,56
C4920,32,1,District-Kasaragod,Urban,70-79,83,121,43,87,14,16,106,100,18,27
C4920,32,1,District-Kasaragod,Urban,80-89,30,59,26,43,2,2,40,50,5,8
C4920,32,1,District-Kasaragod,Urban,90+,4,12,8,5,0,0,8,9,3,2
C4920,32,1,District-Kasaragod,Urban,Age Not Stated,2,1,2,0,0,0,3,0,10,0
C4920,32,2,District-Kannur,Rural,0-4,19,20,59,70,8,7,47,24,14,7
C4920,32,2,District-Kannur,Rural,5-9,56,39,68,70,56,31,54,37,54,34
C4920,32,2,District-Kannur,Rural,10-19,163,120,226,169,114,74,151,118,232,174
C4920,32,2,District-Kannur,Rural,20-29,116,83,194,214,94,82,254,167,303,268
C4920,32,2,District-Kannur,Rural,30-39,111,118,204,220,88,103,381,263,421,333
C4920,32,2,District-Kannur,Rural,40-49,202,193,214,239,97,65,478,258,369,329
C4920,32,2,District-Kannur,Rural,50-59,226,276,228,202,75,47,485,259,251,235
C4920,32,2,District-Kannur,Rural,60-69,277,328,198,221,58,29,404,227,146,154
C4920,32,2,District-Kannur,Rural,70-79,207,329,171,262,15,17,191,200,61,96
C4920,32,2,District-Kannur,Rural,80-89,122,169,145,191,7,9,98,106,16,29
C4920,32,2,District-Kannur,Rural,90+,22,33,34,51,1,3,19,30,3,4
C4920,32,2,District-Kannur,Rural,Age Not Stated,0,1,1,1,0,1,3,3,2,10
C4920,32,2,District-Kannur,Urban,0-4,43,45,120,113,10,18,68,47,20,21
