Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,9,6,District-Jyotiba Phule Nagar,Rural,90+,25,17,38,1,0,21,21,0,0
C4920,9,6,District-Jyotiba Phule Nagar,Rural,Age Not Stated,6,8,10,3,3,6,5,2,0
C4920,9,6,District-Jyotiba Phule Nagar,Urban,0-4,37,50,61,6,3,15,7,9,4
C4920,9,6,District-Jyotiba Phule Nagar,Urban,5-9,49,64,71,40,39,29,24,35,22
C4920,9,6,District-Jyotiba Phule Nagar,Urban,10-19,106,170,154,86,64,182,109,121,76
C4920,9,6,District-Jyotiba Phule Nagar,Urban,20-29,70,144,114,53,50,182,98,92,42
C4920,9,6,District-Jyotiba Phule Nagar,Urban,30-39,69,105,67,52,15,114,54,57,35
C4920,9,6,District-Jyotiba Phule Nagar,Urban,40-49,72,73,68,31,21,95,40,40,20
C4920,9,6,District-Jyotiba Phule Nagar,Urban,50-59,66,66,31,28,11,43,21,20,12
C4920,9,6,District-Jyotiba Phule Nagar,Urban,60-69,77,43,41,18,10,58,46,11,8
C4920,9,6,District-Jyotiba Phule Nagar,Urban,70-79,50,28,31,2,1,35,20,5,3
C4920,9,6,District-Jyotiba Phule Nagar,Urban,80-89,11,4,12,0,1,13,16,0,5
C4920,9,6,District-Jyotiba Phule Nagar,Urban,90+,0,8,5,0,0,5,5,1,1
C4920,9,6,District-Jyotiba Phule Nagar,Urban,Age Not Stated,4,0,1,1,2,0,4,0,0
C4920,9,7,District-Meerut,Rural,0-4,113,342,354,22,25,74,66,34,13
C4920,9,7,District-Meerut,Rural,5-9,141,421,341,172,114,188,98,100,62
C4920,9,7,District-Meerut,Rural,10-19,314,903,850,412,299,980,601,351,200
C4920,9,7,District-Meerut,Rural,20-29,249,662,573,218,177,1014,471,223,108
C4920,9,7,District-Meerut,Rural,30-39,189,435,395,164,149,658,297,157,81
C4920,9,7,District-Meerut,Rural,40-49,213,383,321,153,127,409,155,127,65
C4920,9,7,District-Meerut,Rural,50-59,212,305,258,104,84,320,140,59,44
C4920,9,7,District-Meerut,Rural,60-69,272,251,287,75,56,247,165,40,29
C4920,9,7,District-Meerut,Rural,70-79,221,215,193,40,33,147,118,16,22
C4920,9,7,District-Meerut,Rural,80-89,95,118,100,11,14,81,89,2,6
C4920,9,7,District-Meerut,Rural,90+,37,39,30,7,3,37,31,2,6
C4920,9,7,District-Meerut,Rural,Age Not Stated,79,106,89,42,38,52,30,19,11
C4920,9,7,District-Meerut,Urban,0-4,161,375,319,22,15,68,46,44,29
C4920,9,7,District-Meerut,Urban,5-9,191,439,388,122,97,102,50,101,45
C4920,9,7,District-Meerut,Urban,10-19,459,937,852,290,225,526,293,317,191
C4920,9,7,District-Meerut,Urban,20-29,370,1245,730,225,173,650,365,253,159
C4920,9,7,District-Meerut,Urban,30-39,247,825,591,174,145,423,205,217,99
C4920,9,7,District-Meerut,Urban,40-49,266,577,388,131,111,320,129,132,87
C4920,9,7,District-Meerut,Urban,50-59,194,344,294,91,86,256,129,92,60
C4920,9,7,District-Meerut,Urban,60-69,189,267,262,64,45,213,158,48,40
C4920,9,7,District-Meerut,Urban,70-79,124,145,169,29,15,113,133,17,14
C4920,9,7,District-Meerut,Urban,80-89,44,63,91,7,4,55,67,5,4
C4920,9,7,District-Meerut,Urban,90+,18,29,36,3,9,20,14,5,0
C4920,9,7,District-Meerut,Urban,Age Not Stated,39,124,83,27,22,34,14,10,3
C4920,9,8,District-Baghpat,Rural,0-4,48,126,112,15,9,52,32,14,6
C4920,9,8,District-Baghpat,Rural,5-9,73,178,149,99,63,92,57,49,29
C4920,9,8,District-Baghpat,Rural,10-19,159,421,337,193,129,620,398,209,119
C4920,9,8,District-Baghpat,Rural,20-29,109,299,207,111,72,701,266,167,57
C4920,9,8,District-Baghpat,Rural,30-39,108,198,164,99,63,390,191,121,67
C4920,9,8,District-Baghpat,Rural,40-49,120,188,149,78,56,241,109,64,28
C4920,9,8,District-Baghpat,Rural,50-59,175,133,155,47,46,190,110,34,22
C4920,9,8,District-Baghpat,Rural,60-69,236,200,160,37,32,197,141,25,25
C4920,9,8,District-Baghpat,Rural,70-79,209,193,166,30,25,184,113,12,8
C4920,9,8,District-Baghpat,Rural,80-89,84,88,51,9,5,81,58,5,6
C4920,9,8,District-Baghpat,Rural,90+,29,34,30,3,2,21,18,2,2
C4920,9,8,District-Baghpat,Rural,Age Not Stated,15,29,19,10,10,18,6,5,4
C4920,9,8,District-Baghpat,Urban,0-4,12,27,38,10,2,18,7,4,4
C4920,9,8,District-Baghpat,Urban,5-9,24,35,60,25,16,23,13,12,9
C4920,9,8,District-Baghpat,Urban,10-19,39,100,133,46,24,177,112,41,33
C4920,9,8,District-Baghpat,Urban,20-29,40,91,85,39,30,193,72,50,14
C4920,9,8,District-Baghpat,Urban,30-39,31,69,81,32,12,112,53,26,16
C4920,9,8,District-Baghpat,Urban,40-49,22,46,65,8,14,75,52,29,4
C4920,9,8,District-Baghpat,Urban,50-59,36,41,37,15,10,71,39,15,9
C4920,9,8,District-Baghpat,Urban,60-69,29,43,35,8,6,69,37,10,3
C4920,9,8,District-Baghpat,Urban,70-79,44,18,28,9,2,37,48,4,2
C4920,9,8,District-Baghpat,Urban,80-89,24,13,10,1,1,23,21,0,1
C4920,9,8,District-Baghpat,Urban,90+,2,5,1,0,0,5,6,0,0
C4920,9,8,District-Baghpat,Urban,Age Not Stated,2,5,4,1,0,2,2,0,0
C4920,9,9,District-Ghaziabad,Rural,0-4,442,561,528,35,12,91,65,69,37
C4920,9,9,District-Ghaziabad,Rural,5-9,462,586,589,157,116,188,110,124,69
C4920,9,9,District-Ghaziabad,Rural,10-19,985,1334,1093,340,246,1013,536,386,203
C4920,9,9,District-Ghaziabad,Rural,20-29,665,964,768,236,160,1031,465,261,122
C4920,9,9,District-Ghaziabad,Rural,30-39,489,715,577,151,107,575,302,190,89
C4920,9,9,District-Ghaziabad,Rural,40-49,469,564,406,121,84,358,149,128,81
C4920,9,9,District-Ghaziabad,Rural,50-59,361,392,291,77,60,243,150,50,51
C4920,9,9,District-Ghaziabad,Rural,60-69,423,325,293,53,35,203,184,36,33
C4920,9,9,District-Ghaziabad,Rural,70-79,242,228,226,28,23,144,134,17,30
C4920,9,9,District-Ghaziabad,Rural,80-89,102,95,96,8,6,86,80,6,6
C4920,9,9,District-Ghaziabad,Rural,90+,46,37,55,6,2,29,32,4,3
C4920,9,9,District-Ghaziabad,Rural,Age Not Stated,63,56,58,7,8,36,21,16,9
C4920,9,9,District-Ghaziabad,Urban,0-4,1064,1733,1587,52,41,128,84,116,73
