Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,1,3,District-Leh(Ladakh),Urban,Age Not Stated,1,1,0,0,0,0,0,0,0
C4920,1,4,District-Kargil,Rural,0-4,12,22,21,0,2,3,6,8,6
C4920,1,4,District-Kargil,Rural,5-9,14,21,29,18,14,9,10,7,9
C4920,1,4,District-Kargil,Rural,10-19,42,68,56,21,25,28,25,34,33
C4920,1,4,District-Kargil,Rural,20-29,38,166,40,13,11,42,34,27,29
C4920,1,4,District-Kargil,Rural,30-39,39,82,41,12,6,39,19,38,22
C4920,1,4,District-Kargil,Rural,40-49,41,93,56,18,8,44,31,23,16
C4920,1,4,District-Kargil,Rural,50-59,32,36,30,2,3,30,25,14,6
C4920,1,4,District-Kargil,Rural,60-69,39,52,34,4,4,45,42,10,9
C4920,1,4,District-Kargil,Rural,70-79,60,32,34,4,2,31,29,5,3
C4920,1,4,District-Kargil,Rural,80-89,33,24,18,2,1,8,22,3,0
C4920,1,4,District-Kargil,Rural,90+,3,1,1,0,1,1,1,0,0
C4920,1,4,District-Kargil,Rural,Age Not Stated,1,10,0,0,0,0,0,0,0
C4920,1,4,District-Kargil,Urban,0-4,1,1,1,0,0,1,1,0,0
C4920,1,4,District-Kargil,Urban,5-9,1,3,4,0,0,0,0,0,0
C4920,1,4,District-Kargil,Urban,10-19,1,10,4,4,1,2,0,6,0
C4920,1,4,District-Kargil,Urban,20-29,1,15,4,1,0,2,4,2,2
C4920,1,4,District-Kargil,Urban,30-39,3,7,2,2,1,0,4,0,0
C4920,1,4,District-Kargil,Urban,40-49,0,8,4,2,1,1,2,1,1
C4920,1,4,District-Kargil,Urban,50-59,0,3,1,1,0,1,0,3,1
C4920,1,4,District-Kargil,Urban,60-69,3,4,2,0,0,3,5,1,0
C4920,1,4,District-Kargil,Urban,70-79,1,2,0,0,0,2,3,0,0
C4920,1,4,District-Kargil,Urban,80-89,0,3,0,0,0,0,0,0,0
C4920,1,4,District-Kargil,Urban,90+,0,0,0,0,0,0,0,0,0
