Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,33,1,District-Thiruvallur,Rural,0-4,47,121,139,15,10,48,29,34,26
C4920,33,1,District-Thiruvallur,Rural,5-9,58,154,175,84,72,85,47,120,79
C4920,33,1,District-Thiruvallur,Rural,10-19,224,372,433,190,151,241,180,322,237
C4920,33,1,District-Thiruvallur,Rural,20-29,203,399,518,176,157,668,499,236,239
C4920,33,1,District-Thiruvallur,Rural,30-39,228,406,504,136,127,680,407,189,209
C4920,33,1,District-Thiruvallur,Rural,40-49,228,385,420,115,95,596,311,139,140
C4920,33,1,District-Thiruvallur,Rural,50-59,224,305,367,85,53,492,273,75,70
C4920,33,1,District-Thiruvallur,Rural,60-69,190,252,265,56,36,363,216,35,33
C4920,33,1,District-Thiruvallur,Rural,70-79,95,142,155,12,14,143,101,29,20
C4920,33,1,District-Thiruvallur,Rural,80-89,26,40,51,4,6,33,33,1,2
C4920,33,1,District-Thiruvallur,Rural,90+,7,4,15,1,0,7,2,2,0
C4920,33,1,District-Thiruvallur,Rural,Age Not Stated,1,1,3,1,0,3,1,2,1
C4920,33,1,District-Thiruvallur,Urban,0-4,102,413,389,15,11,46,45,75,58
C4920,33,1,District-Thiruvallur,Urban,5-9,88,390,356,107,78,89,76,209,112
C4920,33,1,District-Thiruvallur,Urban,10-19,269,878,838,194,164,300,210,513,334
C4920,33,1,District-Thiruvallur,Urban,20-29,358,1083,1148,192,166,844,640,426,382
C4920,33,1,District-Thiruvallur,Urban,30-39,346,1161,1109,210,165,1159,758,382,404
C4920,33,1,District-Thiruvallur,Urban,40-49,369,905,873,168,141,842,470,287,342
C4920,33,1,District-Thiruvallur,Urban,50-59,339,704,638,98,85,702,329,147,150
C4920,33,1,District-Thiruvallur,Urban,60-69,224,527,438,69,53,489,249,65,86
C4920,33,1,District-Thiruvallur,Urban,70-79,116,270,271,29,24,212,108,20,34
C4920,33,1,District-Thiruvallur,Urban,80-89,37,93,103,7,8,46,49,2,26
C4920,33,1,District-Thiruvallur,Urban,90+,10,14,21,1,1,7,13,2,5
C4920,33,1,District-Thiruvallur,Urban,Age Not Stated,2,8,18,0,1,2,1,1,3
C4920,33,2,District-Chennai,Rural,0-4,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,5-9,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,10-19,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,20-29,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,30-39,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,40-49,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,50-59,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,60-69,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,70-79,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,80-89,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,90+,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,33,2,District-Chennai,Urban,0-4,235,654,621,36,29,77,71,113,89
C4920,33,2,District-Chennai,Urban,5-9,321,674,626,198,125,149,90,346,215
C4920,33,2,District-Chennai,Urban,10-19,759,1595,1541,434,260,472,343,885,582
C4920,33,2,District-Chennai,Urban,20-29,1017,2102,2137,409,388,1436,1112,955,672
C4920,33,2,District-Chennai,Urban,30-39,931,2171,1870,428,326,2106,1393,938,690
C4920,33,2,District-Chennai,Urban,40-49,842,1826,1529,319,271,1609,846,849,558
C4920,33,2,District-Chennai,Urban,50-59,636,1336,1174,241,145,1363,670,430,329
C4920,33,2,District-Chennai,Urban,60-69,462,915,903,129,95,948,544,201,166
C4920,33,2,District-Chennai,Urban,70-79,265,555,536,66,30,360,286,62,62
C4920,33,2,District-Chennai,Urban,80-89,108,204,224,16,15,106,108,22,31
C4920,33,2,District-Chennai,Urban,90+,26,27,42,3,5,25,22,5,3
C4920,33,2,District-Chennai,Urban,Age Not Stated,14,19,17,2,5,6,4,3,5
C4920,33,3,District-Kancheepuram,Rural,0-4,60,89,83,13,9,59,39,75,56
C4920,33,3,District-Kancheepuram,Rural,5-9,76,91,94,96,61,107,66,145,103
C4920,33,3,District-Kancheepuram,Rural,10-19,324,306,252,195,153,319,208,367,293
C4920,33,3,District-Kancheepuram,Rural,20-29,299,319,306,208,187,781,586,302,282
C4920,33,3,District-Kancheepuram,Rural,30-39,243,295,288,155,168,820,485,250,235
C4920,33,3,District-Kancheepuram,Rural,40-49,246,306,330,120,98,631,355,194,180
C4920,33,3,District-Kancheepuram,Rural,50-59,189,298,342,72,68,572,272,90,88
C4920,33,3,District-Kancheepuram,Rural,60-69,203,222,298,32,31,453,214,42,54
C4920,33,3,District-Kancheepuram,Rural,70-79,156,189,212,19,17,203,143,20,18
C4920,33,3,District-Kancheepuram,Rural,80-89,77,71,63,7,5,77,60,1,11
C4920,33,3,District-Kancheepuram,Rural,90+,13,14,16,0,0,13,8,0,1
C4920,33,3,District-Kancheepuram,Rural,Age Not Stated,2,2,4,5,3,5,5,2,1
C4920,33,3,District-Kancheepuram,Urban,0-4,80,234,240,19,5,72,38,92,52
C4920,33,3,District-Kancheepuram,Urban,5-9,102,249,204,110,92,95,62,225,158
C4920,33,3,District-Kancheepuram,Urban,10-19,264,546,753,201,155,371,233,590,400
C4920,33,3,District-Kancheepuram,Urban,20-29,284,666,900,214,202,928,688,521,434
C4920,33,3,District-Kancheepuram,Urban,30-39,319,701,696,199,170,1214,800,476,365
C4920,33,3,District-Kancheepuram,Urban,40-49,340,685,517,154,107,950,483,339,288
C4920,33,3,District-Kancheepuram,Urban,50-59,286,462,499,89,70,825,414,179,161
C4920,33,3,District-Kancheepuram,Urban,60-69,209,385,370,66,47,576,289,87,66
C4920,33,3,District-Kancheepuram,Urban,70-79,124,249,224,31,21,260,137,41,40
C4920,33,3,District-Kancheepuram,Urban,80-89,50,102,118,8,10,63,76,5,16
C4920,33,3,District-Kancheepuram,Urban,90+,9,20,15,1,1,7,11,4,0
C4920,33,3,District-Kancheepuram,Urban,Age Not Stated,7,11,15,1,0,5,4,6,3
C4920,33,4,District-Vellore,Rural,0-4,67,104,150,28,16,99,78,82,50
C4920,33,4,District-Vellore,Rural,5-9,102,162,161,162,125,161,116,221,148
C4920,33,4,District-Vellore,Rural,10-19,282,407,347,363,273,520,325,516,432
C4920,33,4,District-Vellore,Rural,20-29,285,427,444,312,302,1087,731,464,444
C4920,33,4,District-Vellore,Rural,30-39,300,425,418,273,222,1068,615,358,316
C4920,33,4,District-Vellore,Rural,40-49,362,479,405,223,186,907,484,281,238
C4920,33,4,District-Vellore,Rural,50-59,316,367,333,136,116,874,440,150,123
C4920,33,4,District-Vellore,Rural,60-69,282,355,348,114,70,731,410,64,75
C4920,33,4,District-Vellore,Rural,70-79,149,231,226,36,31,337,204,19,37
C4920,33,4,District-Vellore,Rural,80-89,71,88,90,9,10,99,81,12,14
C4920,33,4,District-Vellore,Rural,90+,10,18,19,2,0,18,17,3,2
C4920,33,4,District-Vellore,Rural,Age Not Stated,2,0,4,4,0,1,4,4,2
C4920,33,4,District-Vellore,Urban,0-4,40,73,96,16,8,55,28,56,27
C4920,33,4,District-Vellore,Urban,5-9,66,88,112,86,69,96,66,136,111
C4920,33,4,District-Vellore,Urban,10-19,171,271,284,169,129,321,197,408,354
C4920,33,4,District-Vellore,Urban,20-29,162,318,396,181,144,743,532,377,308
C4920,33,4,District-Vellore,Urban,30-39,190,298,327,141,98,759,514,281,253
C4920,33,4,District-Vellore,Urban,40-49,189,306,289,115,106,630,366,224,155
C4920,33,4,District-Vellore,Urban,50-59,167,236,253,80,55,578,279,119,98
C4920,33,4,District-Vellore,Urban,60-69,126,181,204,59,36,425,203,55,56
C4920,33,4,District-Vellore,Urban,70-79,76,133,100,19,22,191,92,22,23
C4920,33,4,District-Vellore,Urban,80-89,23,36,50,4,7,40,39,4,7
C4920,33,4,District-Vellore,Urban,90+,1,6,11,2,2,6,15,1,0
C4920,33,4,District-Vellore,Urban,Age Not Stated,1,3,2,3,0,2,2,5,3
C4920,33,5,District-Tiruvannamalai,Rural,0-4,43,79,114,11,7,78,42,77,48
C4920,33,5,District-Tiruvannamalai,Rural,5-9,80,119,124,159,111,143,99,180,128
C4920,33,5,District-Tiruvannamalai,Rural,10-19,248,287,287,321,252,440,280,456,359
C4920,33,5,District-Tiruvannamalai,Rural,20-29,295,329,304,330,294,910,707,401,351
C4920,33,5,District-Tiruvannamalai,Rural,30-39,303,269,350,239,232,852,489,264,303
C4920,33,5,District-Tiruvannamalai,Rural,40-49,314,321,305,230,155,664,390,212,166
C4920,33,5,District-Tiruvannamalai,Rural,50-59,249,314,295,127,99,675,352,106,93
C4920,33,5,District-Tiruvannamalai,Rural,60-69,246,294,339,81,59,615,331,49,68
C4920,33,5,District-Tiruvannamalai,Rural,70-79,185,247,214,43,31,305,167,25,27
C4920,33,5,District-Tiruvannamalai,Rural,80-89,85,94,74,17,7,97,54,6,4
C4920,33,5,District-Tiruvannamalai,Rural,90+,16,11,10,0,1,17,15,2,0
C4920,33,5,District-Tiruvannamalai,Rural,Age Not Stated,1,2,1,0,0,1,0,4,2
C4920,33,5,District-Tiruvannamalai,Urban,0-4,15,28,23,5,3,13,16,15,11
C4920,33,5,District-Tiruvannamalai,Urban,5-9,20,42,25,31,19,31,14,30,27
C4920,33,5,District-Tiruvannamalai,Urban,10-19,56,81,78,69,70,99,51,111,86
C4920,33,5,District-Tiruvannamalai,Urban,20-29,71,96,107,64,48,291,204,117,94
C4920,33,5,District-Tiruvannamalai,Urban,30-39,65,75,85,31,43,241,176,94,88
C4920,33,5,District-Tiruvannamalai,Urban,40-49,66,97,95,48,33,196,119,82,61
C4920,33,5,District-Tiruvannamalai,Urban,50-59,56,82,91,20,24,171,101,27,30
C4920,33,5,District-Tiruvannamalai,Urban,60-69,37,62,81,20,18,132,80,10,8
C4920,33,5,District-Tiruvannamalai,Urban,70-79,21,47,41,6,5,66,31,3,4
C4920,33,5,District-Tiruvannamalai,Urban,80-89,8,26,27,5,3,17,15,2,2
C4920,33,5,District-Tiruvannamalai,Urban,90+,1,4,2,0,1,2,1,0,1
C4920,33,5,District-Tiruvannamalai,Urban,Age Not Stated,1,0,2,1,0,0,0,0,0
C4920,33,6,District-Viluppuram,Rural,0-4,77,217,179,26,23,122,98,127,98
C4920,33,6,District-Viluppuram,Rural,5-9,143,253,259,232,155,269,161,244,198
C4920,33,6,District-Viluppuram,Rural,10-19,392,625,595,504,369,758,541,612,506
C4920,33,6,District-Viluppuram,Rural,20-29,422,758,687,473,379,1798,1218,512,470
C4920,33,6,District-Viluppuram,Rural,30-39,425,630,595,296,245,1499,796,391,375
C4920,33,6,District-Viluppuram,Rural,40-49,421,618,611,235,192,1287,657,274,284
C4920,33,6,District-Viluppuram,Rural,50-59,385,510,528,129,111,1148,624,132,161
