Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,22,3,District-Jashpur ,Urban,30-39,10,12,13,8,3,45,19,28,17
C4920,22,3,District-Jashpur ,Urban,40-49,9,15,9,5,5,55,33,21,13
C4920,22,3,District-Jashpur ,Urban,50-59,19,12,10,0,0,51,27,8,7
C4920,22,3,District-Jashpur ,Urban,60-69,10,9,6,2,0,44,26,6,4
C4920,22,3,District-Jashpur ,Urban,70-79,9,12,6,1,1,26,25,1,1
C4920,22,3,District-Jashpur ,Urban,80-89,3,4,5,0,0,8,5,1,0
C4920,22,3,District-Jashpur ,Urban,90+,2,1,0,0,1,5,1,0,0
C4920,22,3,District-Jashpur ,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,22,4,District-Raigarh,Rural,0-4,101,27,18,9,8,143,98,25,19
C4920,22,4,District-Raigarh,Rural,5-9,129,59,54,109,73,258,137,91,78
C4920,22,4,District-Raigarh,Rural,10-19,328,203,157,170,160,695,437,326,263
C4920,22,4,District-Raigarh,Rural,20-29,239,217,141,129,101,921,553,281,279
C4920,22,4,District-Raigarh,Rural,30-39,201,210,154,104,70,926,507,283,296
C4920,22,4,District-Raigarh,Rural,40-49,306,265,198,74,59,943,492,258,200
C4920,22,4,District-Raigarh,Rural,50-59,303,249,203,50,44,762,522,117,135
C4920,22,4,District-Raigarh,Rural,60-69,505,380,421,48,37,1007,1001,53,81
C4920,22,4,District-Raigarh,Rural,70-79,315,327,353,19,20,638,769,15,32
C4920,22,4,District-Raigarh,Rural,80-89,120,121,133,5,11,255,311,3,9
C4920,22,4,District-Raigarh,Rural,90+,24,26,29,1,1,66,81,1,3
C4920,22,4,District-Raigarh,Rural,Age Not Stated,2,1,0,0,0,1,1,0,0
C4920,22,4,District-Raigarh,Urban,0-4,6,8,4,3,2,21,17,7,3
C4920,22,4,District-Raigarh,Urban,5-9,16,4,11,28,9,42,21,22,11
C4920,22,4,District-Raigarh,Urban,10-19,47,31,33,36,18,97,56,47,34
C4920,22,4,District-Raigarh,Urban,20-29,36,34,20,28,27,161,93,58,33
C4920,22,4,District-Raigarh,Urban,30-39,33,31,27,15,16,153,88,46,42
C4920,22,4,District-Raigarh,Urban,40-49,32,36,14,15,8,173,80,43,31
C4920,22,4,District-Raigarh,Urban,50-59,39,22,21,11,9,138,83,21,16
C4920,22,4,District-Raigarh,Urban,60-69,35,28,27,9,7,153,129,9,9
C4920,22,4,District-Raigarh,Urban,70-79,20,26,20,3,2,80,103,5,10
C4920,22,4,District-Raigarh,Urban,80-89,6,12,10,2,0,19,27,0,1
C4920,22,4,District-Raigarh,Urban,90+,1,3,6,0,0,3,4,0,0
C4920,22,4,District-Raigarh,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,22,5,District-Korba ,Rural,0-4,38,51,41,13,11,76,58,18,14
C4920,22,5,District-Korba ,Rural,5-9,67,67,56,78,55,114,84,70,40
C4920,22,5,District-Korba ,Rural,10-19,200,178,174,108,101,375,287,165,164
C4920,22,5,District-Korba ,Rural,20-29,108,154,126,95,82,487,331,166,151
C4920,22,5,District-Korba ,Rural,30-39,112,155,135,85,65,432,238,166,100
C4920,22,5,District-Korba ,Rural,40-49,114,144,115,52,42,377,183,109,83
C4920,22,5,District-Korba ,Rural,50-59,141,145,122,34,21,333,205,44,56
C4920,22,5,District-Korba ,Rural,60-69,214,208,256,30,23,374,418,27,29
C4920,22,5,District-Korba ,Rural,70-79,168,118,186,5,4,258,323,8,19
C4920,22,5,District-Korba ,Rural,80-89,45,56,78,0,5,90,114,2,3
C4920,22,5,District-Korba ,Rural,90+,9,14,12,0,0,27,32,1,0
C4920,22,5,District-Korba ,Rural,Age Not Stated,0,0,2,4,1,1,4,0,0
C4920,22,5,District-Korba ,Urban,0-4,20,28,32,4,4,25,37,9,4
C4920,22,5,District-Korba ,Urban,5-9,31,47,40,32,20,61,42,34,24
C4920,22,5,District-Korba ,Urban,10-19,81,127,91,67,61,169,106,122,73
C4920,22,5,District-Korba ,Urban,20-29,83,131,104,45,41,321,165,101,74
C4920,22,5,District-Korba ,Urban,30-39,69,93,71,40,18,256,122,90,48
C4920,22,5,District-Korba ,Urban,40-49,57,104,75,37,29,205,82,48,32
C4920,22,5,District-Korba ,Urban,50-59,52,91,62,25,14,179,81,22,20
C4920,22,5,District-Korba ,Urban,60-69,68,66,59,10,6,130,86,8,11
C4920,22,5,District-Korba ,Urban,70-79,40,37,66,2,4,65,60,6,7
C4920,22,5,District-Korba ,Urban,80-89,8,15,12,3,1,24,33,1,2
C4920,22,5,District-Korba ,Urban,90+,1,3,2,3,1,8,7,1,0
C4920,22,5,District-Korba ,Urban,Age Not Stated,0,0,0,0,1,2,1,0,0
C4920,22,6,District-Janjgir - Champa,Rural,0-4,58,51,54,11,14,144,106,29,19
C4920,22,6,District-Janjgir - Champa,Rural,5-9,140,83,95,113,87,250,166,104,80
