Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,29,3,District-Bijapur,Rural,Age Not Stated,3,2,4,3,2,0,2,0,0,0
C4920,29,3,District-Bijapur,Urban,0-4,37,50,71,76,6,6,37,32,19,18
C4920,29,3,District-Bijapur,Urban,5-9,66,68,82,102,60,58,51,47,33,36
C4920,29,3,District-Bijapur,Urban,10-19,164,130,221,223,96,103,198,141,121,114
C4920,29,3,District-Bijapur,Urban,20-29,126,125,228,189,76,84,268,230,90,85
C4920,29,3,District-Bijapur,Urban,30-39,107,93,172,155,72,51,217,112,70,57
C4920,29,3,District-Bijapur,Urban,40-49,88,72,144,116,53,44,177,76,50,35
C4920,29,3,District-Bijapur,Urban,50-59,75,69,104,79,30,20,124,50,36,18
C4920,29,3,District-Bijapur,Urban,60-69,65,72,55,78,12,15,101,47,12,14
C4920,29,3,District-Bijapur,Urban,70-79,28,44,27,41,12,7,46,31,5,9
C4920,29,3,District-Bijapur,Urban,80-89,9,19,12,12,5,4,9,19,2,4
C4920,29,3,District-Bijapur,Urban,90+,2,9,7,1,0,0,3,3,1,1
C4920,29,3,District-Bijapur,Urban,Age Not Stated,1,0,1,2,0,0,1,0,0,0
C4920,29,4,District-Bidar,Rural,0-4,128,127,149,160,21,14,128,90,44,30
C4920,29,4,District-Bidar,Rural,5-9,194,160,203,206,187,119,211,164,123,99
C4920,29,4,District-Bidar,Rural,10-19,509,433,523,481,394,336,786,481,366,293
C4920,29,4,District-Bidar,Rural,20-29,400,242,446,370,230,179,1035,596,259,227
C4920,29,4,District-Bidar,Rural,30-39,304,247,369,330,138,110,920,379,204,155
C4920,29,4,District-Bidar,Rural,40-49,271,232,363,270,110,91,769,278,143,73
C4920,29,4,District-Bidar,Rural,50-59,292,272,231,246,71,49,564,300,70,80
C4920,29,4,District-Bidar,Rural,60-69,441,514,314,327,66,56,666,408,62,64
C4920,29,4,District-Bidar,Rural,70-79,317,412,205,180,27,22,351,182,21,23
C4920,29,4,District-Bidar,Rural,80-89,147,186,86,84,8,10,98,84,2,5
C4920,29,4,District-Bidar,Rural,90+,46,62,30,38,0,5,20,34,2,3
C4920,29,4,District-Bidar,Rural,Age Not Stated,2,2,0,2,0,1,1,0,0,0
C4920,29,4,District-Bidar,Urban,0-4,31,25,82,93,3,8,38,34,6,12
C4920,29,4,District-Bidar,Urban,5-9,41,34,109,98,65,36,70,43,46,30
C4920,29,4,District-Bidar,Urban,10-19,135,121,243,237,93,76,215,133,95,80
C4920,29,4,District-Bidar,Urban,20-29,103,85,211,189,65,51,301,185,88,71
C4920,29,4,District-Bidar,Urban,30-39,76,64,159,148,48,29,264,120,58,45
C4920,29,4,District-Bidar,Urban,40-49,90,63,139,96,22,14,201,75,38,16
C4920,29,4,District-Bidar,Urban,50-59,44,45,94,68,19,14,130,56,22,16
C4920,29,4,District-Bidar,Urban,60-69,49,61,63,69,16,13,130,73,11,11
C4920,29,4,District-Bidar,Urban,70-79,30,36,23,28,8,4,55,35,5,4
C4920,29,4,District-Bidar,Urban,80-89,14,17,13,15,2,0,12,18,1,1
C4920,29,4,District-Bidar,Urban,90+,5,3,4,4,0,0,6,8,0,3
C4920,29,4,District-Bidar,Urban,Age Not Stated,0,0,0,1,0,0,0,0,0,0
C4920,29,5,District-Raichur,Rural,0-4,169,166,166,145,27,13,135,88,57,54
C4920,29,5,District-Raichur,Rural,5-9,258,199,227,213,214,133,245,159,150,127
C4920,29,5,District-Raichur,Rural,10-19,556,463,584,521,426,270,886,674,388,357
C4920,29,5,District-Raichur,Rural,20-29,382,308,340,320,223,161,946,664,227,222
C4920,29,5,District-Raichur,Rural,30-39,257,251,286,269,111,89,637,305,146,150
C4920,29,5,District-Raichur,Rural,40-49,250,254,289,247,85,66,415,233,107,137
C4920,29,5,District-Raichur,Rural,50-59,247,341,198,203,60,45,365,179,58,73
C4920,29,5,District-Raichur,Rural,60-69,383,671,192,249,33,31,302,187,31,60
C4920,29,5,District-Raichur,Rural,70-79,318,518,127,186,13,11,145,150,18,18
C4920,29,5,District-Raichur,Rural,80-89,102,206,33,88,4,1,35,45,3,8
C4920,29,5,District-Raichur,Rural,90+,29,41,9,29,0,3,9,16,2,2
C4920,29,5,District-Raichur,Rural,Age Not Stated,1,3,3,2,0,0,1,1,2,0
C4920,29,5,District-Raichur,Urban,0-4,52,34,73,65,3,8,31,22,17,20
C4920,29,5,District-Raichur,Urban,5-9,54,52,80,75,56,41,39,39,32,35
C4920,29,5,District-Raichur,Urban,10-19,139,138,188,199,108,87,203,148,116,92
C4920,29,5,District-Raichur,Urban,20-29,95,109,180,189,74,60,253,207,91,68
C4920,29,5,District-Raichur,Urban,30-39,81,74,138,126,40,42,214,119,64,52
C4920,29,5,District-Raichur,Urban,40-49,74,59,133,109,27,28,158,78,45,39
C4920,29,5,District-Raichur,Urban,50-59,57,58,87,77,25,15,116,59,17,21
C4920,29,5,District-Raichur,Urban,60-69,62,111,64,70,13,14,105,67,14,16
C4920,29,5,District-Raichur,Urban,70-79,43,70,22,48,3,3,41,45,7,9
C4920,29,5,District-Raichur,Urban,80-89,17,23,13,12,1,2,16,13,4,2
C4920,29,5,District-Raichur,Urban,90+,2,5,5,6,1,0,2,6,0,2
C4920,29,5,District-Raichur,Urban,Age Not Stated,1,2,0,0,0,0,1,0,0,0
C4920,29,6,District-Koppal,Rural,0-4,91,102,150,133,32,17,133,92,27,33
C4920,29,6,District-Koppal,Rural,5-9,161,146,211,175,193,151,255,167,143,101
C4920,29,6,District-Koppal,Rural,10-19,480,422,562,427,407,235,1052,710,456,357
C4920,29,6,District-Koppal,Rural,20-29,301,242,364,313,192,175,1294,833,231,218
C4920,29,6,District-Koppal,Rural,30-39,203,194,294,243,132,108,803,403,147,155
C4920,29,6,District-Koppal,Rural,40-49,227,183,238,206,101,72,563,256,114,137
C4920,29,6,District-Koppal,Rural,50-59,199,196,206,174,58,53,444,198,55,70
C4920,29,6,District-Koppal,Rural,60-69,371,524,215,245,52,58,474,255,39,60
C4920,29,6,District-Koppal,Rural,70-79,242,407,113,145,12,15,218,156,18,20
C4920,29,6,District-Koppal,Rural,80-89,80,176,35,62,7,8,45,54,1,2
C4920,29,6,District-Koppal,Rural,90+,15,38,4,24,0,0,9,17,0,2
C4920,29,6,District-Koppal,Rural,Age Not Stated,2,2,2,1,0,1,4,2,1,0
C4920,29,6,District-Koppal,Urban,0-4,13,8,16,16,3,2,10,10,8,8
C4920,29,6,District-Koppal,Urban,5-9,27,21,37,8,28,19,33,30,20,19
C4920,29,6,District-Koppal,Urban,10-19,65,57,60,56,46,59,139,92,82,59
C4920,29,6,District-Koppal,Urban,20-29,43,50,66,41,40,45,201,162,59,40
C4920,29,6,District-Koppal,Urban,30-39,35,28,50,37,21,18,154,94,42,35
C4920,29,6,District-Koppal,Urban,40-49,44,36,35,20,19,13,111,62,29,22
C4920,29,6,District-Koppal,Urban,50-59,35,39,28,24,13,2,91,45,10,11
C4920,29,6,District-Koppal,Urban,60-69,48,65,29,28,6,4,89,61,8,2
C4920,29,6,District-Koppal,Urban,70-79,36,61,16,18,3,1,42,55,2,2
C4920,29,6,District-Koppal,Urban,80-89,10,18,2,9,0,0,12,23,0,0
