Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,8,3,District-Bikaner,Urban,5-9,48,62,73,42,31,62,32,39,14
C4920,8,3,District-Bikaner,Urban,10-19,92,147,130,123,74,174,105,140,91
C4920,8,3,District-Bikaner,Urban,20-29,108,209,135,79,53,295,158,191,81
C4920,8,3,District-Bikaner,Urban,30-39,89,178,112,65,44,282,133,174,60
C4920,8,3,District-Bikaner,Urban,40-49,97,138,75,45,36,198,81,122,58
C4920,8,3,District-Bikaner,Urban,50-59,91,105,70,48,28,187,81,77,40
C4920,8,3,District-Bikaner,Urban,60-69,118,95,91,24,23,176,154,31,16
C4920,8,3,District-Bikaner,Urban,70-79,117,91,68,14,7,128,158,11,14
C4920,8,3,District-Bikaner,Urban,80-89,47,42,71,7,3,66,116,7,7
C4920,8,3,District-Bikaner,Urban,90+,11,12,18,0,0,18,30,0,1
C4920,8,3,District-Bikaner,Urban,Age Not Stated,4,13,6,2,1,16,9,12,4
C4920,8,4,District-Churu,Rural,0-4,81,54,68,19,10,77,33,17,18
C4920,8,4,District-Churu,Rural,5-9,111,109,88,111,74,142,83,110,72
C4920,8,4,District-Churu,Rural,10-19,266,278,171,217,135,482,243,376,215
C4920,8,4,District-Churu,Rural,20-29,182,199,133,118,69,744,267,286,121
C4920,8,4,District-Churu,Rural,30-39,175,189,112,87,71,571,285,279,95
C4920,8,4,District-Churu,Rural,40-49,160,150,112,85,34,447,204,201,109
C4920,8,4,District-Churu,Rural,50-59,219,147,129,53,33,341,206,113,71
C4920,8,4,District-Churu,Rural,60-69,282,252,258,48,30,356,333,67,69
C4920,8,4,District-Churu,Rural,70-79,325,243,361,21,24,319,420,24,35
C4920,8,4,District-Churu,Rural,80-89,145,112,168,2,7,136,223,8,4
C4920,8,4,District-Churu,Rural,90+,13,16,43,1,4,22,64,2,1
C4920,8,4,District-Churu,Rural,Age Not Stated,9,9,5,4,0,24,16,4,4
C4920,8,4,District-Churu,Urban,0-4,38,40,37,7,3,31,14,7,5
C4920,8,4,District-Churu,Urban,5-9,44,47,60,34,21,50,33,29,14
C4920,8,4,District-Churu,Urban,10-19,95,112,113,69,59,174,73,119,69
C4920,8,4,District-Churu,Urban,20-29,65,96,90,50,30,280,129,123,52
C4920,8,4,District-Churu,Urban,30-39,52,75,61,23,28,215,92,126,40
C4920,8,4,District-Churu,Urban,40-49,67,77,57,24,16,157,57,87,20
C4920,8,4,District-Churu,Urban,50-59,73,52,57,18,9,152,68,53,26
C4920,8,4,District-Churu,Urban,60-69,95,65,78,18,10,120,84,23,11
C4920,8,4,District-Churu,Urban,70-79,73,61,62,5,6,102,96,10,10
C4920,8,4,District-Churu,Urban,80-89,24,31,41,1,1,41,56,2,1
C4920,8,4,District-Churu,Urban,90+,6,6,8,0,0,10,16,1,3
C4920,8,4,District-Churu,Urban,Age Not Stated,2,2,2,0,0,11,8,3,1
C4920,8,5,District-Jhunjhunun,Rural,0-4,58,54,50,5,12,81,43,30,19
C4920,8,5,District-Jhunjhunun,Rural,5-9,95,84,73,98,56,200,93,123,83
C4920,8,5,District-Jhunjhunun,Rural,10-19,282,235,172,199,93,602,274,516,259
C4920,8,5,District-Jhunjhunun,Rural,20-29,183,187,120,144,56,957,335,407,107
C4920,8,5,District-Jhunjhunun,Rural,30-39,202,155,91,83,61,783,331,361,126
C4920,8,5,District-Jhunjhunun,Rural,40-49,251,158,115,86,58,634,256,269,100
C4920,8,5,District-Jhunjhunun,Rural,50-59,325,194,165,67,35,530,268,160,84
C4920,8,5,District-Jhunjhunun,Rural,60-69,538,284,360,40,25,578,524,100,81
C4920,8,5,District-Jhunjhunun,Rural,70-79,530,375,492,18,23,579,673,45,41
C4920,8,5,District-Jhunjhunun,Rural,80-89,261,189,322,9,10,255,443,11,13
C4920,8,5,District-Jhunjhunun,Rural,90+,37,41,78,1,2,59,126,3,1
C4920,8,5,District-Jhunjhunun,Rural,Age Not Stated,13,13,12,5,2,32,32,14,0
C4920,8,5,District-Jhunjhunun,Urban,0-4,22,9,12,3,3,20,8,5,4
C4920,8,5,District-Jhunjhunun,Urban,5-9,39,20,25,37,25,38,28,36,15
C4920,8,5,District-Jhunjhunun,Urban,10-19,84,73,47,68,32,166,88,137,66
C4920,8,5,District-Jhunjhunun,Urban,20-29,83,49,28,44,21,206,103,117,44
C4920,8,5,District-Jhunjhunun,Urban,30-39,90,47,39,25,14,175,80,119,43
C4920,8,5,District-Jhunjhunun,Urban,40-49,140,40,39,20,19,138,73,90,28
C4920,8,5,District-Jhunjhunun,Urban,50-59,129,39,58,15,11,153,81,46,25
C4920,8,5,District-Jhunjhunun,Urban,60-69,155,69,77,10,10,149,152,24,18
C4920,8,5,District-Jhunjhunun,Urban,70-79,114,54,102,7,3,163,172,9,14
C4920,8,5,District-Jhunjhunun,Urban,80-89,42,32,67,3,2,52,73,1,7
C4920,8,5,District-Jhunjhunun,Urban,90+,6,11,13,1,1,8,29,0,0
C4920,8,5,District-Jhunjhunun,Urban,Age Not Stated,2,0,5,1,1,7,4,5,2
C4920,8,6,District-Alwar,Rural,0-4,237,316,280,37,28,193,99,57,43
C4920,8,6,District-Alwar,Rural,5-9,299,423,319,228,145,364,216,290,167
C4920,8,6,District-Alwar,Rural,10-19,729,815,658,502,268,1388,752,842,422
C4920,8,6,District-Alwar,Rural,20-29,510,664,485,323,201,2072,929,571,249
C4920,8,6,District-Alwar,Rural,30-39,478,542,378,247,156,1683,755,422,210
C4920,8,6,District-Alwar,Rural,40-49,552,466,403,185,117,1055,470,336,182
C4920,8,6,District-Alwar,Rural,50-59,640,422,380,119,74,864,566,168,131
C4920,8,6,District-Alwar,Rural,60-69,1228,626,794,115,89,1249,1300,126,105
C4920,8,6,District-Alwar,Rural,70-79,1251,737,734,55,40,1451,1638,49,43
C4920,8,6,District-Alwar,Rural,80-89,570,372,320,25,13,777,788,17,13
C4920,8,6,District-Alwar,Rural,90+,111,93,91,8,4,201,211,5,2
C4920,8,6,District-Alwar,Rural,Age Not Stated,3,2,3,1,2,6,2,1,0
C4920,8,6,District-Alwar,Urban,0-4,78,56,47,10,10,24,18,15,9
C4920,8,6,District-Alwar,Urban,5-9,80,85,79,33,33,45,36,26,24
C4920,8,6,District-Alwar,Urban,10-19,192,181,135,108,63,220,93,159,92
C4920,8,6,District-Alwar,Urban,20-29,195,133,128,82,61,329,173,139,59
C4920,8,6,District-Alwar,Urban,30-39,164,155,113,66,65,350,201,121,63
C4920,8,6,District-Alwar,Urban,40-49,250,136,107,66,48,267,140,71,46
C4920,8,6,District-Alwar,Urban,50-59,254,106,100,32,16,212,156,43,22
C4920,8,6,District-Alwar,Urban,60-69,246,128,121,27,21,250,280,25,19
C4920,8,6,District-Alwar,Urban,70-79,165,112,105,12,6,237,269,5,8
C4920,8,6,District-Alwar,Urban,80-89,57,45,40,3,2,84,132,2,3
C4920,8,6,District-Alwar,Urban,90+,12,10,13,0,1,25,27,0,2
C4920,8,6,District-Alwar,Urban,Age Not Stated,2,0,0,0,0,1,0,0,0
C4920,8,7,District-Bharatpur,Rural,0-4,150,166,168,26,24,131,91,49,28
C4920,8,7,District-Bharatpur,Rural,5-9,191,221,203,168,105,269,161,144,94
C4920,8,7,District-Bharatpur,Rural,10-19,379,493,373,376,189,1069,551,585,278
C4920,8,7,District-Bharatpur,Rural,20-29,277,404,258,217,137,1368,545,375,142
C4920,8,7,District-Bharatpur,Rural,30-39,227,299,222,152,91,965,443,251,175
C4920,8,7,District-Bharatpur,Rural,40-49,253,262,167,123,88,603,269,203,116
