Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,28,3,District-Karimnagar,Rural,Age Not Stated,185,168,87,93,121,85,319,192,54,65
C4920,28,3,District-Karimnagar,Urban,0-4,83,87,80,76,13,12,35,23,30,12
C4920,28,3,District-Karimnagar,Urban,5-9,109,119,108,91,103,87,75,60,65,47
C4920,28,3,District-Karimnagar,Urban,10-19,288,277,289,276,260,258,263,191,254,211
C4920,28,3,District-Karimnagar,Urban,20-29,359,311,297,299,291,275,478,321,299,215
C4920,28,3,District-Karimnagar,Urban,30-39,325,257,309,265,315,218,460,228,198,146
C4920,28,3,District-Karimnagar,Urban,40-49,313,236,237,231,270,183,465,205,127,127
C4920,28,3,District-Karimnagar,Urban,50-59,231,226,203,162,190,110,395,199,55,43
C4920,28,3,District-Karimnagar,Urban,60-69,230,263,156,171,125,81,436,237,38,41
C4920,28,3,District-Karimnagar,Urban,70-79,125,161,80,110,40,37,178,126,9,23
C4920,28,3,District-Karimnagar,Urban,80-89,35,72,32,63,17,17,46,67,2,7
C4920,28,3,District-Karimnagar,Urban,90+,9,15,3,4,1,5,9,16,1,1
C4920,28,3,District-Karimnagar,Urban,Age Not Stated,17,23,10,16,25,12,21,17,19,13
C4920,28,4,District-Medak,Rural,0-4,81,99,97,96,38,23,163,126,38,33
C4920,28,4,District-Medak,Rural,5-9,209,112,186,142,331,242,343,233,201,164
C4920,28,4,District-Medak,Rural,10-19,446,385,437,360,590,464,1125,788,610,520
C4920,28,4,District-Medak,Rural,20-29,432,296,446,416,403,322,1781,1098,485,458
C4920,28,4,District-Medak,Rural,30-39,480,434,357,351,268,232,1628,813,366,363
C4920,28,4,District-Medak,Rural,40-49,545,501,359,279,209,161,1420,668,260,206
C4920,28,4,District-Medak,Rural,50-59,565,719,314,335,144,143,1312,789,146,155
C4920,28,4,District-Medak,Rural,60-69,1062,1535,493,529,130,106,1634,1087,113,124
C4920,28,4,District-Medak,Rural,70-79,864,956,330,289,53,42,866,616,46,39
C4920,28,4,District-Medak,Rural,80-89,295,342,113,157,14,14,237,233,6,14
C4920,28,4,District-Medak,Rural,90+,44,93,25,36,4,2,35,61,3,4
C4920,28,4,District-Medak,Rural,Age Not Stated,9,10,8,7,2,4,17,14,1,3
C4920,28,4,District-Medak,Urban,0-4,11,23,59,66,6,6,39,27,14,11
C4920,28,4,District-Medak,Urban,5-9,32,31,77,60,73,58,65,40,40,33
C4920,28,4,District-Medak,Urban,10-19,113,97,156,153,146,112,223,137,152,125
C4920,28,4,District-Medak,Urban,20-29,139,99,166,205,143,118,443,242,177,118
C4920,28,4,District-Medak,Urban,30-39,106,90,154,119,94,79,423,207,128,92
C4920,28,4,District-Medak,Urban,40-49,100,87,90,107,59,41,397,144,88,52
C4920,28,4,District-Medak,Urban,50-59,102,96,80,76,47,31,286,124,39,38
C4920,28,4,District-Medak,Urban,60-69,111,146,66,75,30,26,285,144,23,21
C4920,28,4,District-Medak,Urban,70-79,73,105,41,46,14,3,105,95,7,8
C4920,28,4,District-Medak,Urban,80-89,30,36,10,18,2,1,35,41,1,3
C4920,28,4,District-Medak,Urban,90+,9,12,3,7,1,1,7,5,0,0
C4920,28,4,District-Medak,Urban,Age Not Stated,5,4,6,5,5,4,3,4,5,0
C4920,28,5,District-Hyderabad,Rural,0-4,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,5-9,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,10-19,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,20-29,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,30-39,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,40-49,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,50-59,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,60-69,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,70-79,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,80-89,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,90+,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Urban,0-4,1889,1775,1621,1447,88,86,155,108,290,216
C4920,28,5,District-Hyderabad,Urban,5-9,2178,1910,1868,1643,645,548,188,169,415,330
C4920,28,5,District-Hyderabad,Urban,10-19,4759,4418,4064,3622,1390,1229,569,454,1033,829
C4920,28,5,District-Hyderabad,Urban,20-29,4519,4419,3984,4130,1617,1540,938,711,976,839
C4920,28,5,District-Hyderabad,Urban,30-39,3682,3364,3477,3101,1768,1320,962,577,810,620
C4920,28,5,District-Hyderabad,Urban,40-49,2996,2353,2533,2144,1589,1023,827,428,626,408
C4920,28,5,District-Hyderabad,Urban,50-59,1939,1615,1639,1368,1056,640,788,358,379,232
C4920,28,5,District-Hyderabad,Urban,60-69,1284,1053,1011,909,610,385,591,341,206,141
C4920,28,5,District-Hyderabad,Urban,70-79,559,524,512,441,260,158,284,229,62,67
C4920,28,5,District-Hyderabad,Urban,80-89,165,239,199,195,76,65,81,85,23,34
C4920,28,5,District-Hyderabad,Urban,90+,73,97,77,88,28,22,15,29,16,15
C4920,28,5,District-Hyderabad,Urban,Age Not Stated,559,513,557,571,180,101,110,59,99,92
